05,06,07,05,06,07,00,05,06,07,05,06,07,05,06,07,05,06,07,00,00,00,00,00,00,00,00,02,03,04
08,09,10,08,09,10,00,08,09,10,08,09,10,08,09,10,08,09,10,00,00,00,00,00,00,00,00,05,06,07
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,02,03,04,00,00,00,00,00,08,09,10
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,06,07,00,00,00,00,00,02,03,04
00,00,00,00,00,00,00,00,00,00,00,00,00,01,02,03,00,00,00,08,09,10,00,00,00,00,00,05,06,07
00,00,00,00,00,00,00,00,00,00,00,00,00,04,05,06,00,00,00,02,03,04,00,00,00,00,00,08,09,10
00,00,00,00,00,00,00,00,00,00,00,00,00,07,08,09,00,00,00,05,06,07,00,00,00,00,00,02,03,04
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,08,09,10,00,00,00,00,00,05,06,07
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,02,03,04,00,00,00,00,00,08,09,10
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,06,07,00,00,00,00,00,02,03,04
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,08,09,10,00,00,00,00,00,05,06,07
00,00,00,00,00,00,00,00,00,00,02,03,04,02,03,04,02,03,04,02,03,04,00,00,00,00,00,08,09,10
00,00,00,00,00,00,00,00,00,00,05,06,07,05,06,07,05,06,07,05,06,07,00,00,00,00,00,02,03,04
00,00,00,00,00,00,00,00,00,00,08,09,10,08,09,10,08,09,10,08,09,10,00,00,00,00,00,05,06,07
00,00,00,00,00,00,00,00,00,00,02,03,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,08,09,10
00,00,00,00,00,00,00,00,00,00,05,06,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,08,09,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,02,03,04,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,05,06,07,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,08,09,10,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
